X,Y,OBJECTID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005
139.635456503258212,35.642904098052099,78,桜保育園,保育園,区立保育園,桜2-18-3, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00120854.html
139.645009377761625,35.636862253001368,79,弦巻保育園,保育園,区立保育園,弦巻3-15-5, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011721.html
139.640363536764909,35.638225533682039,80,西弦巻保育園,保育園,区立保育園,弦巻5-13-5, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011722.html
139.627845938540247,35.631771883955366,81,ふじみ保育園,保育園,区立保育園,上用賀5-19-6, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011756.html
139.627947828411351,35.642654376865458,82,南桜丘保育園,保育園,区立保育園,桜丘3-10-18, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00132582.html
139.627790806073449,35.630665439217779,83,青い空保育園分園 森の家,保育園,私立保育園,上用賀5-15-1,用賀中学校内,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033432.html
139.638960776452109,35.632209020246769,84,さくらしんまち保育園,保育園,私立保育園,桜新町2-29-3, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00014406.html
139.642914029958916,35.633733884541677,85,さくらしんまち保育園分園 ぴっころ保育園,保育園,私立保育園,桜新町2-13-17, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033468.html
139.628880308617482,35.643151810035896,86,さくらのその保育園,保育園,私立保育園,桜丘2-1-8, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033454.html
139.642289178777958,35.635370337047355,87,ねいろ保育園,保育園,認証保育所,弦巻4-7-15, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00022614.html
139.645114838642286,35.631958564898483,88,ポピンズナーサリースクール桜新町,保育園,認証保育所,桜新町2-8-1,世田谷目黒農協ビル4階,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00027934.html
139.644844455364677,35.635998926605787,89,マミーナ桜新町,保育園,認証保育所,弦巻3-13-10,エラン・ド・オール弦巻1階,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011870.html
139.644065052087228,35.632057513872525,90,ベビールーム桜新町,保育園,認証保育所,桜新町2-9-6,BLOSSOM桜新町1階,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00038985.html
139.634337272846096,35.640619249083016,91,桜すくすく保育園,保育園,私立保育園,桜3-19-13, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138953.html
139.63723007561552,35.628648206989816,92,いいほいくえん 用賀,保育園,認証保育所,用賀３－１２－１９, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00138067.html
139.645564595956245,35.62777840535437,93,わらべうた桜新町保育園,保育園,認証保育所,桜新町１－１－６, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00125733.html
139.657816011774372,35.640752015706603,94,上馬保育園,保育園,区立保育園,上馬5-29-13, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011727.html
139.66532283872229,35.633668611380166,95,駒沢保育園,保育園,区立保育園,野沢4-22-2, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011726.html
139.651532838321202,35.635614763760202,96,東弦巻保育園,保育園,区立保育園,弦巻2-29-17, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011720.html
139.648172168302608,35.642690949811296,97,クラルテ保育園,保育園,保育室,世田谷1-22-2, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011795.html
139.649909581472343,35.641242843038754,98,バンビ保育室,保育園,保育室,世田谷1-32-14, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011796.html
139.655511566357745,35.64361789677735,99,グローバルキッズ松陰神社駅前保育園,保育園,認証保育所,若林3-17-11, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011865.html
139.663191562974475,35.634759802325249,100,駒沢プチ・クレイシュ,保育園,認証保育所,上馬4-2-5,上馬セントラル2階,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011872.html
139.665785238206837,35.639913996957219,101,フロンティアキッズ上馬,保育園,認証保育所,上馬2-29-16,ワイスハイムⅡ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00033095.html
139.648335180695511,35.641434050924673,102,フロンティアキッズ上町,保育園,認証保育所,世田谷1-30-9, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00015811.html
139.660150969063636,35.638304552012606,103,日生上馬保育園ひびき,保育園,認証保育所,上馬4-31-9,サニーサイド上馬1階,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00038988.html
139.646661834667952,35.631985579613406,104,さくらキッズ,保育園,保育室,新町3-21-3, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011809.html
139.65677277079061,35.63657486290186,105,駒沢こだま保育園,保育園,私立保育園,駒沢2-46-9, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138960.html
139.656338297344945,35.644180311167425,106,蓮美幼児学園世田谷第２ナーサリー,保育園,認証保育所,若林３－２１－３, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00124613.html
139.66379571826954,35.64073272791682,107,ベビールーム三軒茶屋,保育園,認証保育所,三軒茶屋２－３９－７,ロジェメント三軒茶屋1階,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00124608.html
139.658978397680784,35.632170970490982,108,カシュカシュこまざわ,保育園,認証保育所,駒沢２－１１－５,NEW VALUE駒沢ビル１階,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00124618.html
139.662699267326218,35.635417291819984,109,オリービア保育園,保育園,私立保育園,上馬4-12-3, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011734.html
139.669730366034372,35.640607260452889,110,三軒茶屋保育園,保育園,区立保育園,三軒茶屋1-23-4, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011717.html
139.682705969631684,35.636915558854099,111,下馬保育園,保育園,区立保育園,下馬5-32-11, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00139502.html
139.669712160084345,35.634533305546562,112,青葉学園野沢こども園（認定こども園）,保育園,私立認定こども園,野沢1-3-19, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011735.html
139.680619798659137,35.639449678164972,113,おともだち保育園分園 こまつなぎ,保育園,私立保育園,下馬1-42-1, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033350.html
139.675376966914428,35.63596197860398,114,下馬鳩ぽっぽ保育園,保育園,私立保育園,下馬3-14-9, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011729.html
139.674502451738363,35.642170054535626,115,鳩ぽっぽ保育園,保育園,私立保育園,太子堂1-15-5, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011728.html
139.667732168353695,35.642485342244186,116,サン・ベビールーム,保育園,保育室,三軒茶屋2-8-11,カーサML1階,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011797.html
139.673880845881627,35.646076248694875,117,つくし保育園,保育園,保育室,太子堂2-6-12, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011794.html
139.673769980366728,35.643629857130286,118,昭和ナースリー（認定こども園）,保育園,認証保育所,太子堂1-13-21, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00141152.html
139.672531588206141,35.638708586410672,119,ポピンズナーサリースクール三軒茶屋,保育園,認証保育所,野沢1-35-8,世田谷ティーズヒルA施設棟2階,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011871.html
139.673108931398616,35.643650342230558,120,もみの木保育園太子堂,保育園,私立保育園,太子堂1-12-18, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00036827.html
139.674445196002296,35.638907355520267,121,ニチイキッズ三軒茶屋保育園,保育園,認証保育所,三軒茶屋1-2-21,アミックビル1・2階,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00038963.html
139.676116315410098,35.640129471817438,122,おともだち保育園,保育園,私立保育園,下馬2-21-11, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011730.html
139.678363891391655,35.637290792924034,123,おともだち保育園分園 こまどめ,保育園,私立保育園,下馬4-18-1,駒留中学校内,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011731.html
139.677902009761624,35.633473674805124,124,世田谷はっと保育園,保育園,私立保育園,下馬4-1-8, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00133975.html
139.674176667499722,35.634724880462571,125,いなみ小児科病児保育室ハグルーム,保育園,病児・病後児保育室,下馬3-10-7, , 
139.680487034503415,35.646544334547762,126,池尻かもめ保育園,保育園,私立保育園,池尻2-5-8, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00125116.html
139.60125959526826,35.66324223295738,127,上祖師谷保育園,保育園,区立保育園,上祖師谷1-16-17, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011783.html
139.596781513669526,35.653956230908243,128,上祖師谷南保育園,保育園,区立保育園,上祖師谷4-6-7, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011784.html
139.59334539926428,35.6650316279446,129,給田保育園,保育園,区立保育園,給田2-13-6, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011787.html
139.600772052222624,35.656806573603198,130,祖師谷保育園,保育園,私立保育園,上祖師谷3-20-17, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011792.html
139.594925640122597,35.66017709234201,131,祖師谷保育園分園,保育園,私立保育園,上祖師谷6-31-5, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00021034.html
139.593979768822578,35.648736428343327,132,成城つくしんぼ保育園,保育園,私立保育園,成城8－27-17, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00125109.html
139.620929310026611,35.658072473700727,133,希望丘保育園,保育園,区立保育園,船橋6-26-5,101号,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011770.html
139.615552518811057,35.658429729437024,134,船橋西保育園,保育園,区立保育園,船橋7-20-16, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011771.html
139.617063607898899,35.664790465157232,135,南八幡山保育園,保育園,区立保育園,八幡山3-9-20,101号,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00131619.html
139.607768165572111,35.647161387981619,136,砧保育園,保育園,私立保育園,祖師谷4-3-17, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011768.html
